"ID","Arousal","Group"
1,39.1,0
2,38,0
3,14.9,0
4,20.7,0
5,19.5,0
6,32.2,0
7,11,0
8,20.7,0
9,26.4,0
10,35.7,0
11,26.4,0
12,28.8,0
13,33.4,0
14,13.7,0
15,46.1,0
16,13.7,0
17,23,0
18,20.7,0
19,19.5,0
20,11.4,0
21,24.1,0
22,17.2,0
23,38,0
24,10.3,0
25,35.7,0
26,41.5,0
27,18.4,0
28,36.8,0
29,54.1,0
30,11.4,0
31,8.7,0
32,23,0
33,14.3,0
34,5.3,0
35,6.3,0
36,24,1
37,17,1
38,35.8,1
39,18,1
40,-1.7,1
41,11.1,1
42,10.1,1
43,16.1,1
44,-0.7,1
45,14.1,1
46,25.9,1
47,23,1
48,20,1
49,14.1,1
50,-1.7,1
51,19,1
52,20,1
53,30.9,1
54,30.9,1
55,22,1
56,6.2,1
57,27.9,1
58,14.1,1
59,33.8,1
60,26.9,1
61,5.2,1
62,13.1,1
63,19,1
64,-15.5,1
